BILL DATE,no. of BILL NUMBER,BILL NUMBERS,DISC.AMT,CASH SALES,CR.SALES,TOTAL SALES,month
06/09/23,18,2170-2187,448.01,7511.0,0.0,7511.0,sep23
07/09/23,13,2188-2200,463.81,6597.0,0.0,6597.0,sep23
08/09/23,21,2201-2221,187.74,7386.0,0.0,7386.0,sep23
09/09/23,20,2222-2241,76.54,4138.0,0.0,4138.0,sep23
11/09/23,16,2242-2257,238.11,4365.0,0.0,4365.0,sep23
12/09/23,19,2258-2276,,5238.0,0.0,5238.0,sep23
13/09/23,15,2277-2291,277.16,5845.0,0.0,5845.0,sep23
14/09/23,24,2292-2315,552.18,8639.0,0.0,8639.0,sep23
15/09/23,15,2316-2330,365.23,5852.0,0.0,5852.0,sep23
16/09/23,22,2331-2352,1246.19,14263.0,0.0,14263.0,sep23
18/09/23,14,2353-2366,,4407.0,0.0,4407.0,sep23
19/09/23,23,2367-2389,302.58,7493.0,0.0,7493.0,sep23
20/09/23,29,2390-2418,555.98,9947.0,0.0,9947.0,sep23
21/09/23,20,2419-2438,326.33,5824.0,0.0,5824.0,sep23
22/09/23,25,2439-2463,631.54,10442.0,0.0,10442.0,sep23
23/09/23,13,2464-2476,539.53,5791.0,0.0,5791.0,sep23
25/09/23,27,2477-2503,701.78,9561.0,0.0,9561.0,sep23
26/09/23,16,2504-2519,38.72,5672.0,0.0,5672.0,sep23
27/09/23,16,2520-2535,755.86,9096.0,0.0,9096.0,sep23
28/09/23,13,2536-2548,317.01,5226.0,0.0,5226.0,sep23
29/09/23,13,2549-2561,107.73,4778.0,0.0,4778.0,sep23
30/09/23,12,2562-2573,97.07,3577.0,0.0,3577.0,sep23
